INFO:root:Episode 1,Reward = 261.880222
INFO:root:Episode 2,Reward = 60.776299
INFO:root:Episode 3,Reward = 147.281816
INFO:root:Episode 4,Reward = 85.161888
INFO:root:Episode 5,Reward = 135.072157
INFO:root:Episode 6,Reward = 38.392525
INFO:root:Episode 7,Reward = 415.166648
INFO:root:Episode 8,Reward = 320.040038
INFO:root:Episode 9,Reward = 187.126444
INFO:root:Episode 10,Reward = 700.816222
INFO:root:Episode 11,Reward = 14.195206
INFO:root:Episode 12,Reward = 130.451517
INFO:root:Episode 13,Reward = 7.604673
INFO:root:Episode 14,Reward = 267.408867
INFO:root:Episode 15,Reward = 45.397032
INFO:root:Episode 16,Reward = 318.842471
INFO:root:Episode 17,Reward = 12.878380
INFO:root:Episode 18,Reward = 123.903866
INFO:root:Episode 19,Reward = 135.313413
INFO:root:Episode 20,Reward = 278.957143
INFO:root:Episode 21,Reward = 6.482079
INFO:root:Episode 22,Reward = 175.927596
INFO:root:Episode 23,Reward = 9.028229
INFO:root:Episode 24,Reward = 113.976862
INFO:root:Episode 25,Reward = 218.430468
INFO:root:Episode 26,Reward = 175.691420
INFO:root:Episode 27,Reward = 76.094763
INFO:root:Episode 28,Reward = 322.164624
INFO:root:Episode 29,Reward = 471.057303
INFO:root:Episode 30,Reward = 52.276257
INFO:root:Episode 31,Reward = 57.908986
INFO:root:Episode 32,Reward = 86.073299
INFO:root:Episode 33,Reward = 279.924324
INFO:root:Episode 34,Reward = 148.332587
INFO:root:Episode 35,Reward = 61.161009
INFO:root:Episode 36,Reward = 171.913853
INFO:root:Episode 37,Reward = 78.392717
INFO:root:Episode 38,Reward = 22.654611
INFO:root:Episode 39,Reward = 203.154009
INFO:root:Episode 40,Reward = 97.244588
INFO:root:Episode 41,Reward = 269.260436
INFO:root:Episode 42,Reward = 170.089580
INFO:root:Episode 43,Reward = 283.107808
INFO:root:Episode 44,Reward = 221.853097
INFO:root:Episode 45,Reward = 171.740368
INFO:root:Episode 46,Reward = 47.524647
INFO:root:Episode 47,Reward = 29.344285
INFO:root:Episode 48,Reward = 284.359756
INFO:root:Episode 49,Reward = 232.932655
INFO:root:Episode 50,Reward = 14.559272
INFO:root:Episode 51,Reward = 15.508126
INFO:root:Episode 52,Reward = 150.945301
INFO:root:Episode 53,Reward = 50.189511
INFO:root:Episode 54,Reward = 64.845675
INFO:root:Episode 55,Reward = 63.842399
INFO:root:Episode 56,Reward = 180.045533
INFO:root:Episode 57,Reward = 283.428233
INFO:root:Episode 58,Reward = 62.684631
INFO:root:Episode 59,Reward = 354.862708
INFO:root:Episode 60,Reward = 100.188220
INFO:root:Episode 61,Reward = 182.536383
INFO:root:Episode 62,Reward = 456.658835
INFO:root:Episode 63,Reward = 125.055896
INFO:root:Episode 64,Reward = 64.582992
INFO:root:Episode 65,Reward = 465.649413
INFO:root:Episode 66,Reward = 43.349247
INFO:root:Episode 67,Reward = 135.455471
INFO:root:Episode 68,Reward = 239.314897
INFO:root:Episode 69,Reward = 33.471279
INFO:root:Episode 70,Reward = 150.455314
INFO:root:Episode 71,Reward = 7.956514
INFO:root:Episode 72,Reward = 112.507380
INFO:root:Episode 73,Reward = 252.308332
INFO:root:Episode 74,Reward = 119.892057
INFO:root:Episode 75,Reward = 172.284197
INFO:root:Episode 76,Reward = 397.345367
INFO:root:Episode 77,Reward = 9.741557
INFO:root:Episode 78,Reward = 486.414451
INFO:root:Episode 79,Reward = 420.476785
INFO:root:Episode 80,Reward = 299.209690
INFO:root:Episode 81,Reward = 130.965134
INFO:root:Episode 82,Reward = 186.785671
INFO:root:Episode 83,Reward = 219.865308
INFO:root:Episode 84,Reward = 587.826666
INFO:root:Episode 85,Reward = 299.060774
INFO:root:Episode 86,Reward = 28.956407
INFO:root:Episode 87,Reward = 449.523409
INFO:root:Episode 88,Reward = 187.019285
INFO:root:Episode 89,Reward = 142.185321
INFO:root:Episode 90,Reward = 284.955409
INFO:root:Episode 91,Reward = 238.036575
INFO:root:Episode 92,Reward = 17.340213
INFO:root:Episode 93,Reward = 104.266842
INFO:root:Episode 94,Reward = 241.523573
INFO:root:Episode 95,Reward = 185.630107
INFO:root:Episode 96,Reward = 49.606105
INFO:root:Episode 97,Reward = 236.122886
INFO:root:Episode 98,Reward = 297.035038
INFO:root:Episode 99,Reward = 473.470783
INFO:root:Episode 100,Reward = 41.587616
INFO:root:Episode 101,Reward = 413.833755
INFO:root:Episode 102,Reward = 634.496304
INFO:root:Episode 103,Reward = 136.101927
INFO:root:Episode 104,Reward = 142.704786
INFO:root:Episode 105,Reward = 289.695927
INFO:root:Episode 106,Reward = 143.739916
INFO:root:Episode 107,Reward = 16.012345
INFO:root:Episode 108,Reward = 26.927170
INFO:root:Episode 109,Reward = 84.116949
INFO:root:Episode 110,Reward = 208.688936
INFO:root:Episode 111,Reward = 47.162467
INFO:root:Episode 112,Reward = 872.375684
INFO:root:Episode 113,Reward = 203.246898
INFO:root:Episode 114,Reward = 51.178848
INFO:root:Episode 115,Reward = 44.710399
INFO:root:Episode 116,Reward = 8.950906
INFO:root:Episode 117,Reward = 38.337291
INFO:root:Episode 118,Reward = 34.867825
INFO:root:Episode 119,Reward = 323.278708
INFO:root:Episode 120,Reward = 87.834737
INFO:root:Episode 121,Reward = 412.600583
INFO:root:Episode 122,Reward = 10.385869
INFO:root:Episode 123,Reward = 184.430032
INFO:root:Episode 124,Reward = 96.609308
INFO:root:Episode 125,Reward = 106.688154
INFO:root:Episode 126,Reward = 105.275544
INFO:root:Episode 127,Reward = 10.188351
INFO:root:Episode 128,Reward = 155.086372
INFO:root:Episode 129,Reward = 104.261752
INFO:root:Episode 130,Reward = 104.466237
INFO:root:Episode 131,Reward = 197.819434
INFO:root:Episode 132,Reward = 41.792599
INFO:root:Episode 133,Reward = 35.156826
INFO:root:Episode 134,Reward = 138.678818
INFO:root:Episode 135,Reward = 62.716168
INFO:root:Episode 136,Reward = 93.456815
INFO:root:Episode 137,Reward = 21.850587
INFO:root:Episode 138,Reward = 113.849145
INFO:root:Episode 139,Reward = 11.230000
INFO:root:Episode 140,Reward = 115.390375
INFO:root:Episode 141,Reward = 281.097547
INFO:root:Episode 142,Reward = 187.729900
INFO:root:Episode 143,Reward = 34.274059
INFO:root:Episode 144,Reward = 87.164577
INFO:root:Episode 145,Reward = 148.659280
INFO:root:Episode 146,Reward = 90.790000
INFO:root:Episode 147,Reward = 208.709143
INFO:root:Episode 148,Reward = 97.747032
INFO:root:Episode 149,Reward = 349.835852
INFO:root:Episode 150,Reward = 223.502050
INFO:root:Episode 151,Reward = 75.813332
INFO:root:Episode 152,Reward = 294.244736
INFO:root:Episode 153,Reward = 115.455200
INFO:root:Episode 154,Reward = 726.791944
INFO:root:Episode 155,Reward = 256.331213
INFO:root:Episode 156,Reward = 29.440334
INFO:root:Episode 157,Reward = 108.073483
INFO:root:Episode 158,Reward = 138.176608
INFO:root:Episode 159,Reward = 400.257526
INFO:root:Episode 160,Reward = 72.797608
INFO:root:Episode 161,Reward = 488.250721
INFO:root:Episode 162,Reward = 7.921762
INFO:root:Episode 163,Reward = 338.986224
INFO:root:Episode 164,Reward = 352.887768
INFO:root:Episode 165,Reward = 351.876128
INFO:root:Episode 166,Reward = 292.157860
INFO:root:Episode 167,Reward = 52.903083
INFO:root:Episode 168,Reward = 42.268829
INFO:root:Episode 169,Reward = 302.676342
INFO:root:Episode 170,Reward = 391.047454
INFO:root:Episode 171,Reward = 164.713711
INFO:root:Episode 172,Reward = 64.481764
INFO:root:Episode 173,Reward = 344.840167
INFO:root:Episode 174,Reward = 10.711686
INFO:root:Episode 175,Reward = 57.336611
INFO:root:Episode 176,Reward = 7.693207
